Trust Abbrev,Trust Name,Trust Website,Page URL,Event Title,Date,Time,Location,Description,Event URL,Scan Date
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,milwaukee grows garden network hits 100 community gardens!,100-07-14,,"gardening increases consumption of fresh food and hours spent in physical activity, and reduces chronic disease risk","Milwaukee Grows Garden Network , founded and maintained by residents with a desire to activate and beautify vacant lots in their neighborhoods has increased to 100 sites. Each site is unique and suited for the hyper-local needs of the city block being served. Most function as gardens growing fresh v...",,2025-07-14 06:22:51
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,Summertime!,100-07-14,,,"Summer goes by fast in Wisconsin, and Community Gardens are celebrating the season across 100 neighborhoods in Milwaukee! This season,  One hundred people stepped up decided to be responsible for fighting blight on their block by installing and caring for a community gardenby becoming a Garden Leade...",,2025-07-14 06:22:51
SD,San Diego,https://groundworksandiego.org/,https://groundworksandiego.org/events,EarthLab Climate Action Park,1110-07-14,,"1110 Carolina Lane, San DiegoSpend the morning with EarthLab docents and learn about native plants AND get hands","EarthLab Climate Action Park1110 Carolina Lane, San DiegoSpend the morning with EarthLab docents and learn about native plants AND get hands-on experience caring for the plants. Volunteers are so important in maintaining the park as an inviting space for students to learn about the environment.  Check out the orchard and hydroponics farm too! To sign up via email:  groundworker@groundworksandiego.org",mailto:groundworker@groundworksandiego.org?subject=Sign%20up%20for%20EarthLab%20Day%20in%20the%20Garden&body=Number%20of%20people%20attending%3A%20,2025-07-14 06:22:51
SC,Southcoast,https://groundworksouthcoast.org/,https://groundworksouthcoast.org/events/harvest-bash/harvest-bash-2024-sponsorship/,Steward Investor:,1975-05-14,,,$75 each; **May be purchased singularly or in addition to other sponsorship packages**,,2025-07-14 06:22:51
SC,Southcoast,https://groundworksouthcoast.org/,https://groundworksouthcoast.org/events/harvest-bash/harvest-bash-2024-sponsorship/,Pollinator Investor:,1975-05-14,,,$75 each; **May be purchased singularly or in addition to other sponsorship packages**,,2025-07-14 06:22:51
SC,Southcoast,https://groundworksouthcoast.org/,https://groundworksouthcoast.org/events/harvest-bash/harvest-bash-2024-sponsorship/,Wildflower Investor:,1975-05-14,,,$75 each; **May be purchased singularly or in addition to other sponsorship packages**,,2025-07-14 06:22:51
SC,Southcoast,https://groundworksouthcoast.org/,https://groundworksouthcoast.org/events/harvest-bash/harvest-bash-2024-sponsorship/,Ally Investor:,1975-05-14,,,$75 each; **May be purchased singularly or in addition to other sponsorship packages**,,2025-07-14 06:22:51
SC,Southcoast,https://groundworksouthcoast.org/,https://groundworksouthcoast.org/events/harvest-bash/harvest-bash-2024-sponsorship/,Sponsor a community member’s attendance:,1975-05-14,,,$75 each; **May be purchased singularly or in addition to other sponsorship packages**,,2025-07-14 06:22:51
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,"New Garden Council serves as connector between gardeners, community and residents",2000-11-19,,,This year Groundworks Milwaukee is adding a new resource for gardeners across the city. The Garden Council is a five-member group of veteran community leaders and gardeners. The council serves to give voice to community gardeners across the network and meets regularly to offer feedback and advice. T...,,2025-07-14 06:22:51
RI,Rhode Island,https://groundworkri.org/,https://groundworkri.org/adult-job-training/,Outcomes,2002-07-14,,,"Groundwork Rhode Island has been conducting Environmental Job Training since 2002. To date we have placed an average of 70% of training graduates in jobs ranging from temporary crew positions on remediation projects to full-time salaried positions with remediation contractors, Aerotek, T.F. Green Ai...",,2025-07-14 06:22:51
NRG,Northeast Revitalization Group,https://www.northeastkck.org/,https://www.northeastkck.org/northeast-area-master-plan,Unified Government Adopts Northeast Area Master Plan,2018-11-29,,the following the link here,"Following a unanimous recommendation for adoption by the City’s Planning Commission in October, the Northeast Area Master Plan was  formally adopted by the Unified Government’s Board of Commissioners on November 29, 2018.  You can download the final plan at the following the link here. Rooted in res...",https://www.wycokck.org/files/assets/public/urban-planning-amp-land-use/documents/neamp-final-plan-181211.pdf,2025-07-14 06:22:51
BPRT,Bridgeport,https://www.groundworkbridgeport.org/,https://www.groundworkbridgeport.org/,© 2020 Groundwork Bridgeport,2020-07-14,,1001 Main St,"1001 Main St., Suite 20Bridgeport, CT 06604 (203) 335-6126hello@groundworkbridgeport.org Powered by:A desire to help others",https://www.groundworkbridgeport.org/home,2025-07-14 06:22:51
BPRT,Bridgeport,https://www.groundworkbridgeport.org/,https://www.groundworkbridgeport.org/programs,© 2020 Groundwork Bridgeport,2020-07-14,,1001 Main St,"1001 Main St., Suite 20Bridgeport, CT 06604 (203) 335-6126hello@groundworkbridgeport.org Powered by:A desire to help others",https://www.groundworkbridgeport.org/home,2025-07-14 06:22:51
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,"Newsletter, May 2022",2022-05-14,,,"Groundwork Milwaukee


June 7, 2022



Newsletter",https://www.groundworkmke.org/news-blog/2021/6/7/newsletter-may-2022-fwxc9,2025-07-14 06:22:51
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,"Newsletter, June 2022",2022-06-14,,,"Groundwork Milwaukee


July 11, 2022



Newsletter",https://www.groundworkmke.org/news-blog/2022/6/7/newsletter-june-2022-fwxc9-73jmj,2025-07-14 06:22:51
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,Milwaukee Heat Mapping Campaign Featured on the Weather Channel,2022-06-28,,,"Groundwork Milwaukee


June 28, 2022



Media, Climate Safe Neighborhood",https://www.groundworkmke.org/news-blog/2022/6/28/milwaukee-heat-mapping-campaign-featured-on-the-weather-channel,2025-07-14 06:22:51
RI,Rhode Island,https://groundworkri.org/,https://groundworkri.org/latest-news/,2022 Year in Review,2022-07-14,,,"Amelia Rose2023-12-21T22:34:03-05:00January 7th, 2023|",https://groundworkri.org/2022-year-in-review/,2025-07-14 06:22:51
RI,Rhode Island,https://groundworkri.org/,https://groundworkri.org/latest-news,2022 Year in Review,2022-07-14,,,"Amelia Rose2023-12-21T22:34:03-05:00January 7th, 2023|",https://groundworkri.org/2022-year-in-review/,2025-07-14 06:22:51
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,"Newsletter November, 2022",2022-11-14,,,"Groundwork Milwaukee


December 8, 2022



Newsletter",https://www.groundworkmke.org/news-blog/2022/6/7/newsletter-june-2022-fwxc9-73jmj-gnrkw,2025-07-14 06:22:51
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,Milwaukee Flood-Health Vulnerability Assessment,2022-12-09,,,"Groundwork Milwaukee


December 9, 2022



Media, Climate Safe Neighborhood",https://www.groundworkmke.org/news-blog/2022/12/08/flood-health-vulnerability,2025-07-14 06:22:51
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,Groundwork Milwaukee In The News,2023-01-03,,,"Groundwork Milwaukee


January 3, 2023



Update, Climate Safe Neighborhood, GIS, Groundwork in the Media",https://www.groundworkmke.org/news-blog/2022/11/4/update-test-1,2025-07-14 06:22:51
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,Groundwork Milwaukee in the News,2023-01-03,,,"Groundwork Milwaukee


January 3, 2023",https://www.groundworkmke.org/news-blog/2023/1/3/groundwork-milwaukee-in-the-news,2025-07-14 06:22:51
RI,Rhode Island,https://groundworkri.org/,https://groundworkri.org/latest-news/,"New Tree Equity Planting Initiative in Central Falls, Cumberland, Lincoln, Woonsocket, and East Providence",2023-02-10,10:32,,"Lacey Kohler2024-04-09T10:32:51-04:00February 10th, 2023|",https://groundworkri.org/new-tree-equity-planting-initiative-in-central-falls-cumberland-lincoln-and-woonsocket/,2025-07-14 06:22:51
RI,Rhode Island,https://groundworkri.org/,https://groundworkri.org/latest-news,"New Tree Equity Planting Initiative in Central Falls, Cumberland, Lincoln, Woonsocket, and East Providence",2023-02-10,10:32,,"Lacey Kohler2024-04-09T10:32:51-04:00February 10th, 2023|",https://groundworkri.org/new-tree-equity-planting-initiative-in-central-falls-cumberland-lincoln-and-woonsocket/,2025-07-14 06:22:51
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,Community Spotlight: Karma Community Garden,2023-04-06,,,"Groundwork Milwaukee


April 6, 2023



Community Spotlight",https://www.groundworkmke.org/news-blog/2023/4/6/community-spotlight-karma-community-garden,2025-07-14 06:22:51
ATL,Atlanta,https://www.groundworkatlanta.org/,https://www.groundworkatlanta.org/events,RiverWalk Atlanta Work Day,2023-05-06,,,Join us on the first Saturday of each month to join the work party in cleaning up and removing invasive species along the Chattahoochee River!,https://www.groundworkatlanta.org/events/2019/9/chattahoochee-river-work-day-rx9pn-9d6sz-lpm5k-fr6xx-3hfxf-pdbnk-k2en8-dn9np-j93js-7ganl-dh5r8-r6a2j,2025-07-14 06:22:51
