Trust Abbrev,Trust Name,Trust Website,Page URL,Event Title,Date,Time,Location,Description,Event URL,Scan Date
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,milwaukee grows garden network hits 100 community gardens!,100-01-26,,"gardening increases consumption of fresh food and hours spent in physical activity, and reduces chronic disease risk","Milwaukee Grows Garden Network , founded and maintained by residents with a desire to activate and beautify vacant lots in their neighborhoods has increased to 100 sites. Each site is unique and suited for the hyper-local needs of the city block being served. Most function as gardens growing fresh v...",,2026-01-26 06:28:10
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,Summertime!,100-01-26,,,"Summer goes by fast in Wisconsin, and Community Gardens are celebrating the season across 100 neighborhoods in Milwaukee! This season,  One hundred people stepped up decided to be responsible for fighting blight on their block by installing and caring for a community gardenby becoming a Garden Leade...",,2026-01-26 06:28:10
SD,San Diego,https://groundworksandiego.org/,https://groundworksandiego.org/events,EarthLab Climate Action Park,1110-01-26,,EarthLab and spend quality time in nature helping us keep the park a fun and safe learning space for students,"EarthLab Climate Action Park1110 Carolina Lane, San DiegoGet your exercise box checked at EarthLab and spend quality time in nature helping us keep the park a fun and safe learning space for students.  As you ""dig in"" with docent volunteers, you will learn about the watershed’s native plants and other drought tolerant plants. To sign up, email:  groundworker@groundworksandiego.org",mailto:groundworker@groundworksandiego.org?subject=Sign%20up%20for%20EarthLab%20Day%20in%20the%20Garden&body=Number%20of%20people%20attending%3A%20,2026-01-26 06:28:10
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,Ground Corps Supports the Andre Lee Ellis & Company Community Garden,1313-06-18,,a new garden being started by a long-time Groundwork friend,"Ground Corps has been busy all over Milwaukee working on green infrastructure construction and maintenance. One highlight from the past month was a work day at a new garden being started by a long-time Groundwork friend. On June 18th, Groundwork’s Ground Corps supported Andre Lee Ellis’ new project ...",https://thecagemke.com?fbclid=IwAR2kqDJjW8lUV-gj_nRQoZlPOR2xleed_uXwWouofW9fXU6VBnovItfbTPE,2026-01-26 06:28:10
ERI,Erie,https://www.groundworkerie.org/,https://www.groundworkerie.org/book-club,Imagining Humanity’s Retreat in J. G. Ballard’s The Drowned World,1962-01-26,,happens to the human psyche when faced with environmental collapse,"Reading J. G. Ballard’s 1962 novel The Drowned World was like immersing myself in the eco-dystopian equivalent of a film noir version of Joseph Conrad’s Heart of Darkness. Infused with Ballard’s own interpretations and embellishments on Freudian and Jungian psychology, The Drowned World explores wha...",https://www.groundworkerie.org/book-club/wrj3m2jy6y0nnk0q1rhws9gmtstawm-ctb73-2dtgn,2026-01-26 06:28:10
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,"New Garden Council serves as connector between gardeners, community and residents",2000-11-26,,,This year Groundworks Milwaukee is adding a new resource for gardeners across the city. The Garden Council is a five-member group of veteran community leaders and gardeners. The council serves to give voice to community gardeners across the network and meets regularly to offer feedback and advice. T...,,2026-01-26 06:28:10
RI,Rhode Island,https://groundworkri.org/,https://groundworkri.org/adult-job-training/,Outcomes,2002-01-26,,,"Groundwork Rhode Island has been conducting Environmental Job Training since 2002. To date we have placed an average of 70% of training graduates in jobs ranging from temporary crew positions on remediation projects to full-time salaried positions with remediation contractors, Aerotek, T.F. Green Ai...",,2026-01-26 06:28:10
ERI,Erie,https://www.groundworkerie.org/,https://www.groundworkerie.org/book-club,Reading Salvage the Bones as Ecofiction,2011-01-26,,is preparing for hurricane Katrina,"Jesmyn Ward’s novel Salvage the Bones, National Book Award winner in 2011, is about a poor family in a Black community in rural Mississippi that is preparing for hurricane Katrina. The main storyline—a family drama with multiple subplots—unfolds in parallel to the impending storm, its climax coincid...",https://www.groundworkerie.org/book-club/reading-salvage-the-bones-as-ecofiction,2026-01-26 06:28:10
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,Green Team,2014-06-19,,,"We’re always so excited to welcome our summer Green Team to Groundwork. Groundwork Milwaukee’s Green Team is a service-learning program for 14 to 19 year-olds, living in Groundwork’s most engaged communities. The program's dual goals are to prepare youth for a lifetime of environmental leadership, a...",,2026-01-26 06:28:10
NRG,Northeast Revitalization Group,https://www.northeastkck.org/,https://www.northeastkck.org/northeast-area-master-plan,Unified Government Adopts Northeast Area Master Plan,2018-11-29,,the following the link here,"Following a unanimous recommendation for adoption by the City’s Planning Commission in October, the Northeast Area Master Plan was  formally adopted by the Unified Government’s Board of Commissioners on November 29, 2018.  You can download the final plan at the following the link here. Rooted in res...",https://www.wycokck.org/files/assets/public/urban-planning-amp-land-use/documents/neamp-final-plan-181211.pdf,2026-01-26 06:28:10
BPRT,Bridgeport,https://www.groundworkbridgeport.org/,https://www.groundworkbridgeport.org/,© 2020 Groundwork Bridgeport,2020-01-26,,1001 Main St,"1001 Main St., Suite 20Bridgeport, CT 06604 (203) 335-6126hello@groundworkbridgeport.org Powered by:A desire to help others",https://www.groundworkbridgeport.org/home,2026-01-26 06:28:10
BPRT,Bridgeport,https://www.groundworkbridgeport.org/,https://www.groundworkbridgeport.org/programs,© 2020 Groundwork Bridgeport,2020-01-26,,1001 Main St,"1001 Main St., Suite 20Bridgeport, CT 06604 (203) 335-6126hello@groundworkbridgeport.org Powered by:A desire to help others",https://www.groundworkbridgeport.org/home,2026-01-26 06:28:10
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news,ANNUAL REPORT,2020-01-26,,,Here you can access Groundwork Milwaukee’s 2020 Annual Report. Follow the link to open it in your browser or to download the pdf.,,2026-01-26 06:28:10
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/about,ANNUAL REPORT,2020-01-26,,,Here you can access Groundwork Milwaukee’s 2020 Annual Report. Follow the link to open it in your browser or to download the pdf.,,2026-01-26 06:28:10
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,One Bed Left for the 2022 Season!,2022-01-26,,Kilbourn for the 2022 season (#132),"As of May 31st, there is still one garden bed available at Kilbourn for the 2022 season (#132). If you’re still looking for somewhere to grow, come join us! Reserve the last bed below.",,2026-01-26 06:28:10
RI,Rhode Island,https://groundworkri.org/,https://groundworkri.org/latest-news/,2022 Year in Review,2022-01-26,,,"Amelia Rose2023-12-21T22:34:03-05:00January 7th, 2023|",https://groundworkri.org/2022-year-in-review/,2026-01-26 06:28:10
RI,Rhode Island,https://groundworkri.org/,https://groundworkri.org/latest-news,2022 Year in Review,2022-01-26,,,"Amelia Rose2023-12-21T22:34:03-05:00January 7th, 2023|",https://groundworkri.org/2022-year-in-review/,2026-01-26 06:28:10
