Trust Abbrev,Trust Name,Trust Website,Page URL,Event Title,Date,Time,Location,Description,Event URL,Scan Date
SD,San Diego,https://groundworksandiego.org/,https://groundworksandiego.org/events,EarthLab Climate Action Park,1110-02-02,,EarthLab and spend quality time in nature helping us keep the park a fun and safe learning space for students,"EarthLab Climate Action Park1110 Carolina Lane, San DiegoGet your exercise box checked at EarthLab and spend quality time in nature helping us keep the park a fun and safe learning space for students.  As you ""dig in"" with docent volunteers, you will learn about the watershed’s native plants and other drought tolerant plants. To sign up, email:  groundworker@groundworksandiego.org",mailto:groundworker@groundworksandiego.org?subject=Sign%20up%20for%20EarthLab%20Day%20in%20the%20Garden&body=Number%20of%20people%20attending%3A%20,2026-02-02 06:54:59
ERI,Erie,https://www.groundworkerie.org/,https://www.groundworkerie.org/book-club,Imagining Humanity’s Retreat in J. G. Ballard’s The Drowned World,1962-02-02,,happens to the human psyche when faced with environmental collapse,"Reading J. G. Ballard’s 1962 novel The Drowned World was like immersing myself in the eco-dystopian equivalent of a film noir version of Joseph Conrad’s Heart of Darkness. Infused with Ballard’s own interpretations and embellishments on Freudian and Jungian psychology, The Drowned World explores wha...",https://www.groundworkerie.org/book-club/wrj3m2jy6y0nnk0q1rhws9gmtstawm-ctb73-2dtgn,2026-02-02 06:54:59
RI,Rhode Island,https://groundworkri.org/,https://groundworkri.org/adult-job-training/,Outcomes,2002-02-02,,,"Groundwork Rhode Island has been conducting Environmental Job Training since 2002. To date we have placed an average of 70% of training graduates in jobs ranging from temporary crew positions on remediation projects to full-time salaried positions with remediation contractors, Aerotek, T.F. Green Ai...",,2026-02-02 06:54:59
ERI,Erie,https://www.groundworkerie.org/,https://www.groundworkerie.org/book-club,Reading Salvage the Bones as Ecofiction,2011-02-02,,is preparing for hurricane Katrina,"Jesmyn Ward’s novel Salvage the Bones, National Book Award winner in 2011, is about a poor family in a Black community in rural Mississippi that is preparing for hurricane Katrina. The main storyline—a family drama with multiple subplots—unfolds in parallel to the impending storm, its climax coincid...",https://www.groundworkerie.org/book-club/reading-salvage-the-bones-as-ecofiction,2026-02-02 06:54:59
NRG,Northeast Revitalization Group,https://www.northeastkck.org/,https://www.northeastkck.org/northeast-area-master-plan,Unified Government Adopts Northeast Area Master Plan,2018-11-29,,the following the link here,"Following a unanimous recommendation for adoption by the City’s Planning Commission in October, the Northeast Area Master Plan was  formally adopted by the Unified Government’s Board of Commissioners on November 29, 2018.  You can download the final plan at the following the link here. Rooted in res...",https://www.wycokck.org/files/assets/public/urban-planning-amp-land-use/documents/neamp-final-plan-181211.pdf,2026-02-02 06:54:59
BPRT,Bridgeport,https://www.groundworkbridgeport.org/,https://www.groundworkbridgeport.org/,© 2020 Groundwork Bridgeport,2020-02-02,,1001 Main St,"1001 Main St., Suite 20Bridgeport, CT 06604 (203) 335-6126hello@groundworkbridgeport.org Powered by:A desire to help others",https://www.groundworkbridgeport.org/home,2026-02-02 06:54:59
BPRT,Bridgeport,https://www.groundworkbridgeport.org/,https://www.groundworkbridgeport.org/programs,© 2020 Groundwork Bridgeport,2020-02-02,,1001 Main St,"1001 Main St., Suite 20Bridgeport, CT 06604 (203) 335-6126hello@groundworkbridgeport.org Powered by:A desire to help others",https://www.groundworkbridgeport.org/home,2026-02-02 06:54:59
RI,Rhode Island,https://groundworkri.org/,https://groundworkri.org/latest-news/,2022 Year in Review,2022-02-02,,,"Amelia Rose2023-12-21T22:34:03-05:00January 7th, 2023|",https://groundworkri.org/2022-year-in-review/,2026-02-02 06:54:59
RI,Rhode Island,https://groundworkri.org/,https://groundworkri.org/latest-news,2022 Year in Review,2022-02-02,,,"Amelia Rose2023-12-21T22:34:03-05:00January 7th, 2023|",https://groundworkri.org/2022-year-in-review/,2026-02-02 06:54:59
RI,Rhode Island,https://groundworkri.org/,https://groundworkri.org/latest-news/,"New Tree Equity Planting Initiative in Central Falls, Cumberland, Lincoln, Woonsocket, and East Providence",2023-02-10,10:32,,"Lacey Kohler2024-04-09T10:32:51-04:00February 10th, 2023|",https://groundworkri.org/new-tree-equity-planting-initiative-in-central-falls-cumberland-lincoln-and-woonsocket/,2026-02-02 06:54:59
RI,Rhode Island,https://groundworkri.org/,https://groundworkri.org/latest-news,"New Tree Equity Planting Initiative in Central Falls, Cumberland, Lincoln, Woonsocket, and East Providence",2023-02-10,10:32,,"Lacey Kohler2024-04-09T10:32:51-04:00February 10th, 2023|",https://groundworkri.org/new-tree-equity-planting-initiative-in-central-falls-cumberland-lincoln-and-woonsocket/,2026-02-02 06:54:59
ATL,Atlanta,https://www.groundworkatlanta.org/,https://www.groundworkatlanta.org/events,RiverWalk Atlanta Work Day,2023-05-06,,,Join us on the first Saturday of each month to join the work party in cleaning up and removing invasive species along the Chattahoochee River!,https://www.groundworkatlanta.org/events/2019/9/chattahoochee-river-work-day-rx9pn-9d6sz-lpm5k-fr6xx-3hfxf-pdbnk-k2en8-dn9np-j93js-7ganl-dh5r8-r6a2j,2026-02-02 06:54:59
