Trust Abbrev,Trust Name,Trust Website,Page URL,Event Title,Date,Time,Location,Description,Event URL,Scan Date
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,milwaukee grows garden network hits 100 community gardens!,100-09-15,,"gardening increases consumption of fresh food and hours spent in physical activity, and reduces chronic disease risk","Milwaukee Grows Garden Network , founded and maintained by residents with a desire to activate and beautify vacant lots in their neighborhoods has increased to 100 sites. Each site is unique and suited for the hyper-local needs of the city block being served. Most function as gardens growing fresh v...",,2025-09-15 06:21:25
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,Summertime!,100-09-15,,,"Summer goes by fast in Wisconsin, and Community Gardens are celebrating the season across 100 neighborhoods in Milwaukee! This season,  One hundred people stepped up decided to be responsible for fighting blight on their block by installing and caring for a community gardenby becoming a Garden Leade...",,2025-09-15 06:21:25
SD,San Diego,https://groundworksandiego.org/,https://groundworksandiego.org/events,EarthLab Climate Action Park,1110-09-15,,EarthLab,"EarthLab Climate Action Park1110 Carolina Lane, San DiegoCome help us do the groundwork at EarthLab! Learn about native plants and how to care for them while preparing the park for student STEAM learning activities. Your efforts will keep EarthLab an inviting learning space for students. Check out the orchard and hydroponics farm too! To sign up via email:  groundworker@groundworksandiego.org",mailto:groundworker@groundworksandiego.org?subject=Sign%20up%20for%20EarthLab%20Day%20in%20the%20Garden&body=Number%20of%20people%20attending%3A%20,2025-09-15 06:21:25
ERI,Erie,https://www.groundworkerie.org/,https://www.groundworkerie.org/book-club,Imagining Humanity’s Retreat in J. G. Ballard’s The Drowned World,1962-09-15,,happens to the human psyche when faced with environmental collapse,"Reading J. G. Ballard’s 1962 novel The Drowned World was like immersing myself in the eco-dystopian equivalent of a film noir version of Joseph Conrad’s Heart of Darkness. Infused with Ballard’s own interpretations and embellishments on Freudian and Jungian psychology, The Drowned World explores wha...",https://www.groundworkerie.org/book-club/wrj3m2jy6y0nnk0q1rhws9gmtstawm-ctb73-2dtgn,2025-09-15 06:21:25
SC,Southcoast,https://groundworksouthcoast.org/,https://groundworksouthcoast.org/events/harvest-bash/harvest-bash-2024-sponsorship/,Steward Investor:,1975-05-15,,,$75 each; **May be purchased singularly or in addition to other sponsorship packages**,,2025-09-15 06:21:25
SC,Southcoast,https://groundworksouthcoast.org/,https://groundworksouthcoast.org/events/harvest-bash/harvest-bash-2024-sponsorship/,Pollinator Investor:,1975-05-15,,,$75 each; **May be purchased singularly or in addition to other sponsorship packages**,,2025-09-15 06:21:25
SC,Southcoast,https://groundworksouthcoast.org/,https://groundworksouthcoast.org/events/harvest-bash/harvest-bash-2024-sponsorship/,Wildflower Investor:,1975-05-15,,,$75 each; **May be purchased singularly or in addition to other sponsorship packages**,,2025-09-15 06:21:25
SC,Southcoast,https://groundworksouthcoast.org/,https://groundworksouthcoast.org/events/harvest-bash/harvest-bash-2024-sponsorship/,Ally Investor:,1975-05-15,,,$75 each; **May be purchased singularly or in addition to other sponsorship packages**,,2025-09-15 06:21:25
SC,Southcoast,https://groundworksouthcoast.org/,https://groundworksouthcoast.org/events/harvest-bash/harvest-bash-2024-sponsorship/,Sponsor a community member’s attendance:,1975-05-15,,,$75 each; **May be purchased singularly or in addition to other sponsorship packages**,,2025-09-15 06:21:25
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,"New Garden Council serves as connector between gardeners, community and residents",2000-11-19,,,This year Groundworks Milwaukee is adding a new resource for gardeners across the city. The Garden Council is a five-member group of veteran community leaders and gardeners. The council serves to give voice to community gardeners across the network and meets regularly to offer feedback and advice. T...,,2025-09-15 06:21:25
RI,Rhode Island,https://groundworkri.org/,https://groundworkri.org/adult-job-training/,Outcomes,2002-09-15,,,"Groundwork Rhode Island has been conducting Environmental Job Training since 2002. To date we have placed an average of 70% of training graduates in jobs ranging from temporary crew positions on remediation projects to full-time salaried positions with remediation contractors, Aerotek, T.F. Green Ai...",,2025-09-15 06:21:25
ERI,Erie,https://www.groundworkerie.org/,https://www.groundworkerie.org/book-club,Reading Salvage the Bones as Ecofiction,2011-09-15,,is preparing for hurricane Katrina,"Jesmyn Ward’s novel Salvage the Bones, National Book Award winner in 2011, is about a poor family in a Black community in rural Mississippi that is preparing for hurricane Katrina. The main storyline—a family drama with multiple subplots—unfolds in parallel to the impending storm, its climax coincid...",https://www.groundworkerie.org/book-club/reading-salvage-the-bones-as-ecofiction,2025-09-15 06:21:25
BPRT,Bridgeport,https://www.groundworkbridgeport.org/,https://www.groundworkbridgeport.org/,© 2020 Groundwork Bridgeport,2020-09-15,,1001 Main St,"1001 Main St., Suite 20Bridgeport, CT 06604 (203) 335-6126hello@groundworkbridgeport.org Powered by:A desire to help others",https://www.groundworkbridgeport.org/home,2025-09-15 06:21:25
BPRT,Bridgeport,https://www.groundworkbridgeport.org/,https://www.groundworkbridgeport.org/programs,© 2020 Groundwork Bridgeport,2020-09-15,,1001 Main St,"1001 Main St., Suite 20Bridgeport, CT 06604 (203) 335-6126hello@groundworkbridgeport.org Powered by:A desire to help others",https://www.groundworkbridgeport.org/home,2025-09-15 06:21:25
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,"Newsletter, May 2022",2022-05-15,,,"Groundwork Milwaukee


June 7, 2022



Newsletter",https://www.groundworkmke.org/news-blog/2021/6/7/newsletter-may-2022-fwxc9,2025-09-15 06:21:25
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,"Newsletter, June 2022",2022-06-15,,,"Groundwork Milwaukee


July 11, 2022



Newsletter",https://www.groundworkmke.org/news-blog/2022/6/7/newsletter-june-2022-fwxc9-73jmj,2025-09-15 06:21:25
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,Milwaukee Heat Mapping Campaign Featured on the Weather Channel,2022-06-28,,,"Groundwork Milwaukee


June 28, 2022



Media, Climate Safe Neighborhood",https://www.groundworkmke.org/news-blog/2022/6/28/milwaukee-heat-mapping-campaign-featured-on-the-weather-channel,2025-09-15 06:21:25
RI,Rhode Island,https://groundworkri.org/,https://groundworkri.org/latest-news/,2022 Year in Review,2022-09-15,,,"Amelia Rose2023-12-21T22:34:03-05:00January 7th, 2023|",https://groundworkri.org/2022-year-in-review/,2025-09-15 06:21:25
RI,Rhode Island,https://groundworkri.org/,https://groundworkri.org/latest-news,2022 Year in Review,2022-09-15,,,"Amelia Rose2023-12-21T22:34:03-05:00January 7th, 2023|",https://groundworkri.org/2022-year-in-review/,2025-09-15 06:21:25
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,"Newsletter November, 2022",2022-11-15,,,"Groundwork Milwaukee


December 8, 2022



Newsletter",https://www.groundworkmke.org/news-blog/2022/6/7/newsletter-june-2022-fwxc9-73jmj-gnrkw,2025-09-15 06:21:25
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,Milwaukee Flood-Health Vulnerability Assessment,2022-12-09,,,"Groundwork Milwaukee


December 9, 2022



Media, Climate Safe Neighborhood",https://www.groundworkmke.org/news-blog/2022/12/08/flood-health-vulnerability,2025-09-15 06:21:25
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,Groundwork Milwaukee In The News,2023-01-03,,,"Groundwork Milwaukee


January 3, 2023



Update, Climate Safe Neighborhood, GIS, Groundwork in the Media",https://www.groundworkmke.org/news-blog/2022/11/4/update-test-1,2025-09-15 06:21:25
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,Groundwork Milwaukee in the News,2023-01-03,,,"Groundwork Milwaukee


January 3, 2023",https://www.groundworkmke.org/news-blog/2023/1/3/groundwork-milwaukee-in-the-news,2025-09-15 06:21:25
RI,Rhode Island,https://groundworkri.org/,https://groundworkri.org/latest-news/,"New Tree Equity Planting Initiative in Central Falls, Cumberland, Lincoln, Woonsocket, and East Providence",2023-02-10,10:32,,"Lacey Kohler2024-04-09T10:32:51-04:00February 10th, 2023|",https://groundworkri.org/new-tree-equity-planting-initiative-in-central-falls-cumberland-lincoln-and-woonsocket/,2025-09-15 06:21:25
RI,Rhode Island,https://groundworkri.org/,https://groundworkri.org/latest-news,"New Tree Equity Planting Initiative in Central Falls, Cumberland, Lincoln, Woonsocket, and East Providence",2023-02-10,10:32,,"Lacey Kohler2024-04-09T10:32:51-04:00February 10th, 2023|",https://groundworkri.org/new-tree-equity-planting-initiative-in-central-falls-cumberland-lincoln-and-woonsocket/,2025-09-15 06:21:25
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,Community Spotlight: Karma Community Garden,2023-04-06,,,"Groundwork Milwaukee


April 6, 2023



Community Spotlight",https://www.groundworkmke.org/news-blog/2023/4/6/community-spotlight-karma-community-garden,2025-09-15 06:21:25
ATL,Atlanta,https://www.groundworkatlanta.org/,https://www.groundworkatlanta.org/events,RiverWalk Atlanta Work Day,2023-05-06,,,Join us on the first Saturday of each month to join the work party in cleaning up and removing invasive species along the Chattahoochee River!,https://www.groundworkatlanta.org/events/2019/9/chattahoochee-river-work-day-rx9pn-9d6sz-lpm5k-fr6xx-3hfxf-pdbnk-k2en8-dn9np-j93js-7ganl-dh5r8-r6a2j,2025-09-15 06:21:25
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,Earth Month and All Things Spring,2023-05-19,,,"Groundwork Milwaukee


May 19, 2023



Newsletter",https://www.groundworkmke.org/news-blog/2023/5/19/earth-month-and-all-things-spring,2025-09-15 06:21:25
ATL,Atlanta,https://www.groundworkatlanta.org/,https://www.groundworkatlanta.org/events,Woodall Creek Forest Restoration,2023-05-20,,Woodall Creek,"Help promote a healthy plant community and a sustainable forest at Woodall Creek. Your work will improve habitat for humans who use the greenspace for recreation and wildlife that call it home. Activities include hand-pulling and cutting invasive plants such as English ivy, Chinese privet, and kudzu in a densely wooded area off trail. Physical activity such as bending, pulling, lifting, and kneeling is required. Forest restoration can be physically strenuous - be ready to break a sweat and get dirty and learn a lot while doing it!For more information and to sign up for a date, visit: https://www.treesatlanta.org/get-involved/events/forest-restoration-project-at-woodall-creek-a0V7V00000KLQRkUAP",https://www.groundworkatlanta.org/events/2023/1/21/woodall-creek-forest-restoration-r88t2-fpx8e-fgmsk-4jkkc,2025-09-15 06:21:25
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,Network News,2023-06-02,,,"Groundwork Milwaukee


June 2, 2023



Newsletter",https://www.groundworkmke.org/news-blog/2023/5/26/network-news,2025-09-15 06:21:25
ATL,Atlanta,https://www.groundworkatlanta.org/,https://www.groundworkatlanta.org/events,RiverWalk Atlanta Work Day,2023-06-03,,,Join us on the first Saturday of each month to join the work party in cleaning up and removing invasive species along the Chattahoochee River!,https://www.groundworkatlanta.org/events/2019/9/chattahoochee-river-work-day-rx9pn-9d6sz-lpm5k-fr6xx-3hfxf-pdbnk-k2en8-dn9np-j93js-7ganl-dh5r8-r6a2j-aanlj,2025-09-15 06:21:25
ATL,Atlanta,https://www.groundworkatlanta.org/,https://www.groundworkatlanta.org/events,Woodall Creek Forest Restoration,2023-06-17,,Woodall Creek,"Help promote a healthy plant community and a sustainable forest at Woodall Creek. Your work will improve habitat for humans who use the greenspace for recreation and wildlife that call it home. Activities include hand-pulling and cutting invasive plants such as English ivy, Chinese privet, and kudzu in a densely wooded area off trail. Physical activity such as bending, pulling, lifting, and kneeling is required. Forest restoration can be physically strenuous - be ready to break a sweat and get dirty and learn a lot while doing it!For more information and to sign up for a date, visit: https://www.treesatlanta.org/get-involved/events/forest-restoration-project-at-woodall-creek-a0V7V00000KLQRkUAP",https://www.groundworkatlanta.org/events/2023/1/21/woodall-creek-forest-restoration-r88t2-fpx8e-fgmsk-4jkkc-xx6b2,2025-09-15 06:21:25
MKE,Milwaukee,https://www.groundworkmke.org/,https://www.groundworkmke.org/news-blog,Happy Summer! We're Open To Grow,2023-06-26,,,"Groundwork Milwaukee


June 26, 2023",https://www.groundworkmke.org/news-blog/2023/6/26/happy-summer-were-open-to-grow,2025-09-15 06:21:25
